labeled_object.ordinal,labeled_object.onset,labeled_object.offset,labeled_object.object,labeled_object.utterance_type,labeled_object.object_present,labeled_object.speaker,basic_level
348,2670407,2672299,page,q,n,MOT,page
350,2672299,2675668,nink,i,n,MOT,nink
349,2672299,2675667,sink,i,n,MOT,sink
352,2682783,2684441,book,d,y,MOT,book
351,2682783,2684441,Hidden+Pictures,d,y,MOT,Hidden+Pictures
353,2711417,2716876,crescent+moon,r,n,MOT,moon
354,2716877,2719749,balloon,r,n,MOT,balloon
355,2847276,2851026,ice+cream+cone,n,n,MOT,ice+cream+cone
356,2974278,2977873,book,d,y,MOT,book
357,2997936,3001179,pages,d,y,MOT,page
359,3030513,3034728,bottle,d,n,MOT,bottle
358,3030513,3034727,couch,d,n,MOT,couch
360,3034728,3037313,couch,q,n,MOT,couch
361,3046488,3049091,bottle,d,n,MOT,bottle
362,3049092,3050543,bottle,q,n,MOT,bottle
363,3067604,3071230,bottle,q,n,MOT,bottle
364,3071231,3074288,bottle,d,n,MOT,bottle
365,3077314,3084954,dishwasher,d,n,MOT,dishwasher
366,3084955,3087733,dishwasher,d,n,MOT,dishwasher
367,3087734,3095595,counter,d,y,MOT,NA
368,3108290,3111513,bottle,q,n,MOT,bottle
369,3108290,3111514,counter,d,y,MOT,NA
370,3115750,3120379,bottles,d,y,MOT,bottle
371,3115750,3120379,water,d,y,MOT,water
372,3120379,3121390,counter,d,n,MOT,NA
373,3124574,3127166,dishwasher,d,n,MOT,dishwasher
374,3127167,3128840,dishwasher,d,n,MOT,dishwasher
375,3128841,3130673,bottles,q,n,MOT,bottle
376,3245238,3245238,%com: drum refers to container,NA,NA,NA,NA
377,3245238,3247468,drum,q,n,MOT,drum
378,3247469,3249348,piano,q,n,MOT,piano
379,3273684,3276412,drum,s,n,MOT,drum
380,3276412,3280100,drum,s,n,MOT,drum
381,3282709,3287203,drum,s,n,MOT,drum
382,3287204,3289983,drum,s,n,MOT,drum
383,3405040,3410092,feet,i,y,MOT,foot
384,3443715,3449016,hat,q,y,MOT,hat
385,3449017,3450522,hat,q,y,MOT,hat
386,3450345,3453195,1,n,n,MOT,1
387,3516656,3519175,mouth,d,y,MOT,mouth
388,3519176,3520030,mouth,d,y,MOT,mouth
389,3586217,3587672,video+camera,n,y,MOT,video+camera
390,3712195,3712195,%com: looking at fireplace here,NA,NA,NA,NA
391,3712195,3717807,fire,d,n,MOT,fire
392,3751973,3753676,puzzles,i,y,MOT,puzzle
393,3756153,3760254,puzzles,i,y,MOT,puzzle
394,3770994,3773206,fire+truck,s,n,MOT,fire+truck
395,3775886,3777869,fire+truck,d,n,MOT,fire+truck
396,3775886,3777869,hand,d,n,MOT,hand
397,3777870,3780670,fire+truck,s,n,MOT,fire+truck
398,3785274,3792044,train,n,y,MOT,train
399,3807393,3809719,train,d,y,MOT,train
400,3809720,3812077,boat,d,y,MOT,boat
401,3822480,3826664,piece,d,y,MOT,piece
402,3826665,3828049,%com: refers to puzzle piece,NA,NA,NA,NA
403,3832264,3835642,fire+truck,q,n,MOT,fire+truck
404,3835643,3839039,feet,d,n,MOT,foot
405,3846564,3849499,fire+truck,n,y,MOT,fire+truck
406,3865915,3867828,choo+choo,d,y,MOT,choo+choo
407,3867829,3867828,%com: refers to train,NA,NA,NA,NA
408,3870757,3873577,choo+choo,n,y,MOT,choo+choo
409,3885289,3889721,motorcycle,d,y,MOT,motorcycle
410,3889722,3893509,motorcycle,n,y,MOT,motorcycle
411,3904322,3908073,helicopter,d,n,MOT,helicopter
